"~start_node_id","~start_node_labels","~start_node_property_agent_type","~start_node_property_id","~start_node_property_layer","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_action_name","~end_node_property_id","~end_node_property_layer","~start_node_property_action_name","~end_node_property_object_name","~end_node_property_utterance"
"33","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","35","Action","Pickup","Action_1","Action_Level",,,
"33","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","36","Action","Forward","Action_2","Action_Level",,,
"33","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","40","Action","Move","Action_1","Action_Level",,,
"33","Agent","Commander","Agent_0","Knowledge_Level","PERFORMS","41","Action","Rotate","Action_2","Action_Level",,,
"4","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","13","Object",,"Object_1","Object_Level","Pickup","Mug",
"4","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","14","Object",,"Object_1","Object_Level","Pickup","Mug",
"4","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","15","Object",,"Object_2","Object_Level","Pickup","Bowl",
"4","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","44","Object",,"Object_1","Object_Level","Pickup","Mug",
"4","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","45","Object",,"Object_1","Object_Level","Pickup","Mug",
"4","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","46","Object",,"Object_2","Object_Level","Pickup","Bowl",
"5","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","13","Object",,"Object_1","Object_Level","Forward","Mug",
"5","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","14","Object",,"Object_1","Object_Level","Forward","Mug",
"5","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","15","Object",,"Object_2","Object_Level","Forward","Bowl",
"5","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","44","Object",,"Object_1","Object_Level","Forward","Mug",
"5","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","45","Object",,"Object_1","Object_Level","Forward","Mug",
"5","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","46","Object",,"Object_2","Object_Level","Forward","Bowl",
"9","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","13","Object",,"Object_1","Object_Level","Move","Mug",
"9","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","14","Object",,"Object_1","Object_Level","Move","Mug",
"9","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","15","Object",,"Object_2","Object_Level","Move","Bowl",
"9","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","44","Object",,"Object_1","Object_Level","Move","Mug",
"9","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","45","Object",,"Object_1","Object_Level","Move","Mug",
"9","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","46","Object",,"Object_2","Object_Level","Move","Bowl",
"10","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","13","Object",,"Object_1","Object_Level","Rotate","Mug",
"10","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","14","Object",,"Object_1","Object_Level","Rotate","Mug",
"10","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","15","Object",,"Object_2","Object_Level","Rotate","Bowl",
"10","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","44","Object",,"Object_1","Object_Level","Rotate","Mug",
"10","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","45","Object",,"Object_1","Object_Level","Rotate","Mug",
"10","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","46","Object",,"Object_2","Object_Level","Rotate","Bowl",
"35","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","13","Object",,"Object_1","Object_Level","Pickup","Mug",
"35","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","14","Object",,"Object_1","Object_Level","Pickup","Mug",
"35","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","15","Object",,"Object_2","Object_Level","Pickup","Bowl",
"35","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","44","Object",,"Object_1","Object_Level","Pickup","Mug",
"35","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","45","Object",,"Object_1","Object_Level","Pickup","Mug",
"35","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","46","Object",,"Object_2","Object_Level","Pickup","Bowl",
"36","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","13","Object",,"Object_1","Object_Level","Forward","Mug",
"36","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","14","Object",,"Object_1","Object_Level","Forward","Mug",
"36","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","15","Object",,"Object_2","Object_Level","Forward","Bowl",
"36","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","44","Object",,"Object_1","Object_Level","Forward","Mug",
"36","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","45","Object",,"Object_1","Object_Level","Forward","Mug",
"36","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","46","Object",,"Object_2","Object_Level","Forward","Bowl",
"40","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","13","Object",,"Object_1","Object_Level","Move","Mug",
"40","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","14","Object",,"Object_1","Object_Level","Move","Mug",
"40","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","15","Object",,"Object_2","Object_Level","Move","Bowl",
"40","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","44","Object",,"Object_1","Object_Level","Move","Mug",
"40","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","45","Object",,"Object_1","Object_Level","Move","Mug",
"40","Action",,"Action_1","Action_Level","INVOLVES_OBJECT","46","Object",,"Object_2","Object_Level","Move","Bowl",
"41","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","13","Object",,"Object_1","Object_Level","Rotate","Mug",
"41","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","14","Object",,"Object_1","Object_Level","Rotate","Mug",
"41","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","15","Object",,"Object_2","Object_Level","Rotate","Bowl",
"41","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","44","Object",,"Object_1","Object_Level","Rotate","Mug",
"41","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","45","Object",,"Object_1","Object_Level","Rotate","Mug",
"41","Action",,"Action_2","Action_Level","INVOLVES_OBJECT","46","Object",,"Object_2","Object_Level","Rotate","Bowl",
"0","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","29","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"2","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","29","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"31","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","29","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"33","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","29","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"0","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","30","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"2","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","30","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"31","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","30","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"33","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","30","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"0","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","60","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"2","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","60","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"31","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","60","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"33","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","60","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"0","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","61","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"2","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","61","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"31","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","61","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
"33","Agent","Commander","Agent_0","Knowledge_Level","COMMUNICATES","61","Dialogue",,"Dialogue_1","Dialogue_Level",,,"Good day! We are preparing breakfast. We first need to wash a dirty mug."
